               ,(1),(2),(3),(4),(5),(6)
               ,b(manual),b(abstract),b(routine),Intercept,Intercept,Intercept
,,,,,,
b(abstract),-0.33***,,,-0.16***,,
               ,(0.00),,,(0.00),,
b(routine),,0.94***,,,-0.10**,
               ,,(0.00),,,(0.00),
b(manual),,,-0.68***,,,0.29***
               ,,,(0.00),,,(0.00)
Observations   ,2134,2134,2134,2134,2134,2134
Adjusted R-squared,0.229,0.622,0.309,0.013,0.003,0.019
,,,,,,
p-values in parentheses,,,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,,
